forth    ad.向前;向外，往外
forward  adv.向前，前进
found    vt.创立，创办;建立
four     num.四
fourth   num.第四 n.第四日
France   n.法国
free     a.自由的;空闲的
French   a.法国的 n.法国人
fresh    adj.新鲜的
friend   n.朋友
from     prep.从;从...起;由
front    a.前面的 n.前部
fruit    n.水果
full     adj.满
gain     vt.&vi.获得 n.利益
game     n.游戏，运动，比赛
garden   n.花园，菜园;公园
gate     n.大门
gather   vt.推测，推断
general  a.总的;一般的n.将军
gentle   adj.柔和的
gentleman    n.绅士;有教养的人
get  v.取
gift     n.礼物，赠品;天赋
give     vt.做，作;送给
glad     a.高兴的;乐意的
glass    n.玻璃;玻璃杯
go   v.去
god  n.神，神像;上帝
golden   adj.金(黄)色的
good     adj.好的
government   n.政府;治理;政治
grace    格雷斯(女名)
grain    n.谷物，谷类;谷粒
grant    n.授予物，拨款
grass    n.草;草地
great    adj.伟大的;重大的
green    adj.绿色的
grey     adj.灰色的
gray     a.灰色的 n.灰色
guard    n.哨兵，警卫员
guess    v.猜
guide    n.向导，导游者
half     n.半，一半
hall     n.会堂，大厅，礼堂
hand     n.手
hang     vt.挂，悬;吊死
happen   vi.(偶然)发生
happy    adj.高兴的，幸福的
hat  n.帽子
have     v.有
he   pron.(主格)他
head     n.头
health   n.健康，健康状况
hear     v.听见，听
heart    n.心(脏)
heat     n.热，炎热 vi.变热
heaven   n.天堂;天，天空
heavy    adj.重的
height   n.高，高度;高处
help     v.帮助，帮忙
her  pron.她的
here     adv.这儿
hide     n.生皮，兽皮，皮革
high     adv.高高地 adj.高的
hill     n.小山
him  pron.他(宾格)
himself  pron.他自己;他亲自
his  pron.他的
hold     vt.抓住;抑制
hole     n.洞;孔眼，裂开处
home     adv.回家，在家 n.家
honour   vt.给...以荣誉
honor    n.荣誉;尊敬;敬意
hope     n.&vt.&vi.希望
hot  a.热的;刺激的;辣的
hour     n.小时;时间，时刻
house    n.房屋，住宅;商号
how  ad.怎么;怎样;多少
however  adv.可是，不过
hundred  num.百，百个 n.许多
hunt     vi.打猎
hurry    vi.赶紧 vt.催促
hurt     vt.使受伤;使痛心
I    pron.(主格)我
ice  n.冰
if   conj.假如，如果
ill  adj.病的
important    a.重要的;有势力的
in   prep.在...里面
inch     n.英寸
increase     vt.&vi.&n.增加
indeed   adv.的确;真正地
Indian   adj.印度的 n.印度人
instead  adv.代替，顶替
interest     vt.使发生兴趣 n.兴趣
into     prep.进，入;进入到
iron     n.铁;铁制品
island   n.岛;岛状物
it   pron.它
its  pron.它的
join     vt.加入
journey  n.旅行，旅程，路程
joy  n.欢乐;高兴
judge    n.法官
just     adv.正好，恰好
keep     vi.保持;坚持
kill     vt.杀死
kind     adj.仁慈的;和蔼的
king     n.国王，君主
kiss     n.&vt.吻 vi.接吻
knee     n.膝，膝盖，膝关节
know     vt.知道;认识;通晓
labour   n.劳动
labor    n.劳动,努力,分娩,劳工,工作
lady     n.女士;有教养的妇女
lake     n.湖
land     n.陆地
large    adj.大的;巨大的
last     a.最后的 ad.最后
late     a.迟的 ad.迟，晚
laugh    vi.笑，发笑 n.笑
law  n.法律，法令
lay  vt.放，搁;下(蛋)
lazy     adj.懒惰的
lead     vt.领导
learn    vi.&vt.学，学习
least    a.最少的 ad.最少
leave    vt.离开;剩下 vi.离去
left     a.左边的 ad.在左边
length   n.长，长度;一段
less     a.更少的 ad.更少地
lesson   n.功课，课;课程
let  v.让
letter   n.信;证书;字母
lie  vi.躺，平放;位于
life     n.生命，生活
like     prep.象;跟...一样
line     vt.沿..排列 vi.排队
lion     n.狮子;勇猛的人
lip  n.嘴唇
list     n.表;名单
listen   vi.听，留神听;听从
little   adj.小的
live     vi.居住;活 a.活的
load     vt.装，装载
long     vi.渴望;极想念
look     v.看
lord     n.贵族;上帝，基督
lose     vt.失去;迷失;输掉
loss     n.遗失;损失;失败
lot  n.许多，大量;签，阄
loud     a.响亮的;吵闹的
love     vt.爱，喜欢 n.爱
low  adj.低的;浅的
lower    a.较低的 vt.放下
make     v.造，制作，使..
man  n.男人;人;人类
manner   n.方式;态度;礼貌
many     a.许多的 pron.许多人
mark     n.痕迹;记号;商标
marker   n.作记号的人,记分员,书签,纪念碑,
master   n.主人;能手;硕士
matter   n.事情
may  v.aux.可能，或许
May  v.aux.可能，或许
mean     vt.意思是..
measure  vt.量，测量 n.分量
meat     n.肉
meet     n.会;集会
member   n.成员，会员
middle   adj.中间的 n.中间
might    v.aux.可能，也许
mile     n.英里
milk     vt.&vi.挤奶;出奶
mill     n.磨坊;制造厂
mind     vi.介意 vt.注意,当心
mine     pron.我的
minute   n.分钟
miss     n.小姐
moment   n.片刻;瞬间;时刻
money    n.货币;金钱，财富
month    n.月，月份
moon     n.月球，月亮;卫星
more     a.更多的 ad.更
morning  n.早晨，上午
most     a.最多的 ad.最，很
mother   n.母亲
mount    vt.登上，爬上 n.⋯山
mountain     n.山;山脉
move     n.行动，步骤
Mr.  n.先生
Mrs.     n.太太,夫人
Ms.  n.女士
much     ad.非常，很 a.许多的
music    n.音乐
must     v.aux.必须;必然要
my   pron.我的
myself   pron.我自己
name     n.名字;名誉 vt.说出
narrow   adj.狭窄的
nation   n.民族;国家
natural  adj.自然的
nature   n.大自然，自然界
near     ad.近，接近 a.近的
necesary     adj.必需的，必要的
neck     n.颈，脖子
need     vt.需要 v.aux.需要
neighbour    n.邻居;邻人
neighbor     n.邻居
neither  adj.&pron.(两者)都不
nest     vi.筑巢 vt.为⋯筑巢
never    adv.从来没有;决不
new  adj.新的
next     a.紧接的;贴近的
nice     adj.好的，好看的
night    n.夜，夜间
none     pron.没有人 ad.毫不
noon     n.中午，正午
north    n.北部，北方
